cluster_id,size,top_words,top_queue,top_tag,rep_tickets
0,347,"integration, support, project, integrate, request, management, customer, enhance, provide, appreciate",Technical Support,Feature,"[['Exploring Integration Options for Project Management Tools', 'Returns and Exchanges', 'Integration'], ['Inquiry About Project Management Features and Integration Options', 'Product Support', 'Feature'], ['Request for updating software tools for enhanced integration', 'IT Support', 'Technical']]"
1,130,"engagement, decline, decrease, metric, algorithm, marketing, campaign, recent, content, traffic",Product Support,Feedback,"[['Significant Decline in Digital Marketing Engagement', 'Technical Support', 'Feedback'], ['Decrease in Engagement for Digital Marketing Campaign', 'Technical Support', 'Performance'], ['Addressing Decrease in Brand Engagement Online', 'Customer Service', 'Feedback']]"
2,618,"zoom, zoho, zapier, z63, yield, yesterday, xero, xb273, wrong, write",Technical Support,Security,"[[nan, 'Product Support', 'Feedback'], [nan, 'Sales and Pre-Sales', 'Feedback'], [nan, 'Customer Service', 'Security']]"
3,486,"problem, issue, restart, resolve, update, connection, connectivity, support, device, network",Technical Support,Technical,"[['Request for Technical Support', 'IT Support', 'Technical'], ['Problem with Syncing Project Data Across Platforms', 'Product Support', 'Bug'], ['Problem with Project Information', 'Technical Support', 'Technical']]"
4,574,"security, breach, access, medical, unauthorized, incident, data, outdated, hospital, datum",Technical Support,Security,"[['Experienced Security Breach in Medical Data Systems', 'Technical Support', 'Security'], ['Concern Regarding Security Breach in Medical Data System', 'Technical Support', 'Security'], ['Data Breach Event', 'Technical Support', 'Security']]"
5,317,"saas, management, project, integration, integrate, platform, information, documentation, provide, option",Technical Support,Feature,"[['Overview of Project Management', 'Technical Support', 'Feature'], ['Overview of Project Management', 'Technical Support', 'Feature'], ['Details on API Integrations for Project Management', 'IT Support', 'Feature']]"
6,402,"medical, security, datum, secure, information, hospital, sensitive, encryption, ensure, protect",Technical Support,Security,"[['Enhancing Security of Medical Data in Hospital Settings', 'Customer Service', 'Security'], ['Ensuring Security of Medical Data', 'Product Support', 'Security'], ['Ensuring the Security of Medical Data', 'Product Support', 'Security']]"
7,318,"brand, digital, strategy, growth, marketing, enhance, boost, strategies, online, presence",Customer Service,Feedback,"[['Expanding the Brand Through Digital Strategies', 'Technical Support', 'Feedback'], ['Exploring Digital Strategies for Brand Growth and Online Development', 'Returns and Exchanges', 'Feedback'], ['Assistance Required for Digital Brand Expansion', 'Product Support', 'Feedback']]"
8,310,"campaign, marketing, digital, agency, issue, strategy, brand, target, problem, growth",Technical Support,Feedback,"[['Assistance with Marketing Agency Campaign Performance Issues', 'Sales and Pre-Sales', 'Performance'], ['Trouble with Digital Marketing Campaigns', 'Service Outages and Maintenance', 'Feedback'], ['Problem with Recent Digital Campaigns', 'Product Support', 'Feedback']]"
9,167,"billing, payment, invoice, charge, subscription, discrepancy, account, error, issue, support",Billing and Payments,Billing,"[['Notice of Billing Discrepancies Across Various Services', 'Billing and Payments', 'Billing'], ['Assistance Needed for Billing Discrepancy Problem', 'Billing and Payments', 'Billing'], ['Request for Urgent Review of Billing Discrepancies', 'Billing and Payments', 'Billing']]"
10,335,"investment, analytic, data, tool, analytics, decision, optimize, optimization, portfolio, enhance",Customer Service,Feature,"[['Inquiry about Data Analytics Solutions for Investment Optimization', 'Product Support', 'Feedback'], ['Support for Data Analytics Tools in Optimizing Investments', 'Product Support', 'Product'], ['Inquiry Regarding Data Analytics Services for Optimizing Investment Strategies', 'Billing and Payments', 'Feedback']]"
11,223,"crash, software, issue, update, problem, resolve, restart, application, compatibility, encounter",Technical Support,Bug,"[['An Unexpected System Crash During Data Analysis', 'Technical Support', 'Crash'], ['Assistance with Unexpected Software Crashes', 'Technical Support', 'Bug'], ['Problem with Software Crashes', 'Technical Support', 'Bug']]"
12,174,"saas, platform, problem, issue, project, server, resolve, management, update, recent",Technical Support,Bug,"[['Concern About Performance Issues in SaaS Platform', 'Returns and Exchanges', 'Performance'], ['Concern About Performance Issues in SaaS Platform', 'Returns and Exchanges', 'Performance'], ['Problem with SaaS Platform Efficiency', 'Technical Support', 'Performance']]"
13,381,"investment, data, issue, analytic, problem, optimization, financial, software, datum, resolve",Technical Support,Bug,"[['Trouble with Recent Investment Reports Showing Data Discrepancies', 'Product Support', 'Bug'], ['Data Discrepancies in Investment Analytics Reported', 'Product Support', 'Disruption'], ['Support Technical Issues', 'Returns and Exchanges', 'Bug']]"
14,218,"server, issue, peak, outage, performance, load, delay, resolve, dashboard, restart",Technical Support,Performance,"[['Performance Delay', 'Product Support', 'Performance'], ['Performance Delay', 'Product Support', 'Performance'], ['Concerns Regarding System Performance', 'Technical Support', 'Performance']]"
