topic_id,top_words
0,"freuen, können, information, integration, unterstützung, bitte, geehrt, detailliert, rückmeldung, erhalten"
1,"langsam, dashboard, pro, macbook, projekt-dashboard, benutzer, hoch, datenverschlüsselung, erhöht, postgresql"
2,"data, --, investment, and, analysis, for, your, support, you, optimization"
3,"google, integration, zoho, firebase, crm, ubuntu, aws, outage, platform, redis"
4,"problem, neu, bitte, unterstützung, lösung, bestehen, starten, versuchen, benötigen, können"
5,"adobe, elasticsearch, quickbooks, cloud, jira, cassandra, accessing, online, crm, effects"
6,"digital, kampagne, verbessern, verbesserung, ergebnis, leistung, unterstützung, strategie, angepasst, erzielen"
7,"--, for, and, could, provide, would, support, with, your, digital"
8,"digital, strategie, können, freuen, geben, information, bitte, dienstleistung, erfahren, markenwachstum"
9,"medizinisch, datum, patientendat, sicherheit, sicherheitsmaßnahme, information, krankenhaus, sicherung, gewährleisten, bitte"
10,"data, security, medical, access, been, and, systems, system, --, hospital"
11,"rabatt, bereitstellen, smart, verfügbar, airtable, zahlungsmethod, erfahren, information, verschieden, preis"
12,"optimierung, verbesserung, datenanalyse, investition, treffen, entscheidung, verbessern, optimieren, sap, investitionsentscheidung"
13,"veraltet, problem, feststellen, bestehen, möglich, software, durchführen, möglicherweise, system, zukünftig"
14,"--, the, issue, and, with, issues, problem, have, due, but"
