dominant_topic,Billing and Payments,Customer Service,General Inquiry,Human Resources,IT Support,Product Support,Returns and Exchanges,Sales and Pre-Sales,Service Outages and Maintenance,Technical Support
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006743088334457181
0,0.17130620985010706,0.1839080459770115,0.13432835820895522,0.12745098039215685,0.10782608695652174,0.13160854893138357,0.14233576642335766,0.2191780821917808,0.102803738317757,0.09575185434929198
1,0.0021413276231263384,0.002554278416347382,0.0,0.0,0.008695652173913044,0.010123734533183352,0.0072992700729927005,0.0,0.004672897196261682,0.005394470667565745
2,0.014989293361884369,0.0280970625798212,0.05970149253731343,0.00980392156862745,0.036521739130434785,0.024746906636670417,0.06204379562043796,0.0273972602739726,0.018691588785046728,0.014160485502360081
3,0.0,0.001277139208173691,0.0,0.0,0.0052173913043478265,0.0011248593925759281,0.0,0.0,0.0,0.0013486176668914363
4,0.24197002141327623,0.194125159642401,0.2835820895522388,0.23529411764705882,0.32521739130434785,0.26209223847019125,0.24087591240875914,0.11643835616438356,0.45794392523364486,0.3715441672285907
5,0.0,0.0,0.0,0.0,0.0017391304347826088,0.0011248593925759281,0.0,0.0,0.0,0.0006743088334457181
6,0.004282655246252677,0.04853128991060025,0.04477611940298507,0.0392156862745098,0.006956521739130435,0.06299212598425197,0.05474452554744526,0.0821917808219178,0.028037383177570093,0.016857720836142953
7,0.10278372591006424,0.10089399744572158,0.1044776119402985,0.09803921568627451,0.05217391304347826,0.03937007874015748,0.072992700729927,0.0821917808219178,0.04672897196261682,0.04315576534052596
8,0.07066381156316917,0.12005108556832694,0.07462686567164178,0.09803921568627451,0.05391304347826087,0.0764904386951631,0.07664233576642336,0.13013698630136986,0.037383177570093455,0.045178691840863115
9,0.11134903640256959,0.1136653895274585,0.1044776119402985,0.11764705882352941,0.09217391304347826,0.09561304836895389,0.10218978102189781,0.11643835616438356,0.08878504672897196,0.08428860418071477
10,0.010706638115631691,0.016602809706257982,0.029850746268656716,0.00980392156862745,0.02608695652173913,0.025871766029246346,0.029197080291970802,0.04794520547945205,0.004672897196261682,0.020903573836817263
11,0.027837259100642397,0.002554278416347382,0.029850746268656716,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0
12,0.03854389721627409,0.02554278416347382,0.07462686567164178,0.0196078431372549,0.034782608695652174,0.03937007874015748,0.021897810218978103,0.0273972602739726,0.004672897196261682,0.019554956169925825
13,0.08565310492505353,0.05363984674329502,0.014925373134328358,0.09803921568627451,0.0817391304347826,0.08211473565804274,0.06569343065693431,0.04794520547945205,0.0,0.08968307484828052
14,0.11777301927194861,0.10855683269476372,0.04477611940298507,0.14705882352941177,0.16695652173913045,0.14735658042744657,0.12408759124087591,0.08904109589041095,0.205607476635514,0.19082939986513822
